"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"chru de brest",1,NA,"deep learning",NA,NA,29
"ciril group",3,1,"bases de donnée",NA,"Secteur informatique, ESN",13
"civils de la defense",1,NA,"programmation",NA,NA,75
"clamae group",1,NA,"azure",NA,NA,75
"claranet",4,7,"équipe",NA,"Secteur informatique, ESN",59
"cleeven se",1,NA,"équipe",32500,NA,6
"clementine",1,NA,"power bi",NA,NA,75
"cls",1,NA,"deep learning",NA,NA,31
"cls – collecte localisation satellites",1,0,"deep learning",NA,"Industrie high-tech, Telecom",31
"cnav",1,NA,"bases de donnée",40500,NA,75
"cnes   centre national d etudes spatiales",2,NA,"programming",NA,NA,91
"cnp",6,1,"équipe",NA,"Banque, Assurance, Finance",92
"cnrs",2,NA,"équipe",34340.16,NA,38
"coface",7,NA,"database",NA,NA,NA
"cofidis",2,NA,"équipe",37500,NA,59
"cognizant",1,NA,"anglais",NA,NA,75
"colas",1,NA,"statistique",NA,NA,54
"collins aerospace",1,NA,"équipe",NA,NA,27
"comptalents",1,NA,"excel",37500,NA,95
"consept ingenierie",1,7,NA,32500,"Secteur informatique, ESN",35
"consort group",2,1,"communication",NA,"Secteur informatique, ESN",33
"consortia",7,NA,"équipe",NA,NA,NA
"consultancy",7,4,"sql",NA,NA,NA
"contexte",7,5,"sql",NA,NA,NA
"continental",2,NA,"power bi",NA,NA,31
"coperneec",2,NA,"deep learning",NA,NA,75
"council of europe development bank",1,NA,"excel",NA,NA,75
"cpam de la marne",1,NA,"bases de donnée",28000,NA,51
"credit agricole",26,1,"équipe",50000,NA,75
"criteo",2,NA,"python",NA,"Média, Internet, Communication",75
"cs",20,7,"python",NA,"Secteur informatique, ESN",75
"cyllene",28,4,"sql",48750,NA,NA
"d3s",1,NA,"deep learning",65000,NA,38
"dalkia",1,NA,"sql",NA,NA,49
"danem people france",2,NA,"sql",82500,NA,75
"danone",5,0,"équipe",NA,NA,75
"darty",7,0,"équipe",NA,"Distribution, Commerce de gros",94
"dassault",12,NA,"équipe",NA,NA,78
"data recrutement",46,NA,"python",45000,NA,75
"datadog",3,NA,"excel",NA,NA,75
"datafabio",1,NA,"deep learning",NA,NA,94
"dataiku",1,NA,"python",NA,NA,75
"datakhi",1,NA,"power bi",45000,NA,59
"datascientest",17,1,"python",36833.3333333333,NA,NA
"datawords",1,NA,"optimisation",NA,"Secteur informatique, ESN",92
"davidson",11,1,"équipe",39812.5,"Secteur informatique, ESN",35
"davricourt",5,NA,"équipe",NA,"Secteur informatique, ESN",59
"decideom",1,NA,"programmation",45000,NA,59
"decilia",1,NA,"programmation",41500,NA,92
"deezer",3,0,"english",NA,NA,75
"delaware",2,NA,"tableau",NA,NA,59
"deloitte",8,0,"statistique",NA,NA,92
"demeter",2,1,"excel",60000,"Services aux Entreprises",92
"departement de saone et loire",1,NA,"excel",NA,NA,NA
"departement du val de marne",1,NA,"anglais",NA,NA,NA
"descartes",11,0,"excel",NA,"Banque, Assurance, Finance",75
"devoteam",3,NA,"équipe",NA,"Secteur informatique, ESN",92
"dgtl performance",2,NA,"english",NA,"Secteur informatique, ESN",78
"dialonce",1,NA,"deep learning",NA,NA,75
"diamidex",1,NA,"deep learning",40000,NA,NA
"digidiz   staff & go",1,NA,"prévision",NA,NA,68
"digital",10,1,"équipe",42300,"Secteur informatique, ESN",59
"digiwide",1,NA,"git",NA,NA,33
"dinum",7,NA,"git",NA,NA,NA
"dior",2,7,"deep learning",NA,"Industrie Manufacturière",92
"diot siaci",1,1,"reporting",50000,"Banque, Assurance, Finance",75
"direction generale de l armement",1,NA,"python",NA,NA,35
"docaposte",4,1,"deep learning",NA,"Secteur informatique, ESN",69
"docaret",1,NA,"vba",44000,NA,33
"doctolib",2,NA,"deep learning",NA,NA,75
"easy cash",1,NA,"équipe",NA,NA,NA
"easyvista",2,0,"python",NA,"Secteur informatique, ESN",38
"edenred",2,NA,"git",NA,"Services aux Entreprises",92
"edf",5,0,"équipe",NA,"Secteur Energie, Environnement",92
"edhec business school",1,NA,"intelligence artificielle",NA,NA,59
"edvance",1,NA,"rigueur",NA,NA,92
"effi gemy",2,NA,"python",NA,NA,NA
"egis",1,NA,"anglais",NA,NA,69
"ekino france",1,NA,"python",NA,NA,93
"ekkiden",2,NA,"autonôme",NA,"Secteur informatique, ESN",75
"elap",1,NA,"power bi",NA,NA,75
"eleclerc",1,NA,"équipe",NA,NA,40
"elis",1,NA,"anglais",NA,NA,92
"elsys design",1,NA,"français",NA,NA,35
"emerton group",3,NA,"azure",NA,NA,75
"endrix",1,NA,"optimisation",NA,"BEP, CAP, Banque, Assurance, Finance",69
"enedis",1,NA,"équipe",NA,NA,69
"engie",11,0,"python",NA,"Secteur Energie, Environnement",92
"equancy",1,NA,"deep learning",NA,NA,75
"equans",5,1,"équipe",52500,NA,69
"equativ",4,NA,"deep learning",NA,NA,75
"eramet",1,NA,"rigueur",NA,NA,78
"ergoss",7,NA,"programmation",NA,NA,NA
"esprit rh",1,1,"optimisation",NA,"Services aux Entreprises",31
"eureden",1,NA,"autonôme",NA,NA,29
"euro information",8,NA,"équipe",42062.5,"Banque, Assurance, Finance",67
"eurofins",2,NA,"excel",NA,"Industrie Pharmaceutique, Biotechn., Chimie",2
"europcar mobility group",2,NA,"communication",NA,"Transport, Logistique",75
"european camping group",1,NA,"power bi",30000,NA,34
"evaneos",13,3,"équipe",NA,NA,NA
"eviden",5,7,"sql",NA,"Secteur informatique, ESN",33
"evoteo",25,1,"sql",44380,NA,NA
"evs professionnel",15,3,"statistique",NA,NA,NA
